# Libros reales que amplían el catálogo hasta 20 por categoría (los usa scripts/add_catalog.py).
# Formato:  categoría | título | autor | título alternativo para buscar la portada (opcional) | descripción
# Solo son reales el título, el autor y la portada (Open Library); precio y stock los inventa el script.

clasicos|Los miserables|Victor Hugo|Les Misérables|La lucha de Jean Valjean por redimirse en la Francia del siglo XIX, perseguido sin tregua por el inspector Javert.
clasicos|Madame Bovary|Gustave Flaubert||Emma Bovary sueña con una vida de romance y lujo que la provincia no le ofrece, y su búsqueda la arrastra a la ruina.
clasicos|El conde de Montecristo|Alexandre Dumas|The Count of Monte Cristo|Traicionado y encarcelado injustamente, Edmond Dantès escapa, encuentra un tesoro y prepara una venganza minuciosa.
clasicos|Cumbres borrascosas|Emily Brontë|Wuthering Heights|La pasión destructiva entre Heathcliff y Catherine en los páramos de Yorkshire, una historia de amor, orgullo y venganza.
clasicos|Jane Eyre|Charlotte Brontë||Una huérfana sin fortuna se abre camino como institutriz y se enamora del misterioso señor Rochester y de los secretos de su casa.
clasicos|Grandes esperanzas|Charles Dickens|Great Expectations|Pip, un joven huérfano, recibe una fortuna anónima que cambia su destino y le enseña lo que de verdad importa.
clasicos|La Odisea|Homero|The Odyssey|El regreso de Ulises a Ítaca tras la guerra de Troya: diez años de naufragios, monstruos y dioses para volver a casa.
clasicos|La Ilíada|Homero|The Iliad|La cólera de Aquiles y los últimos días del asedio de Troya en el poema fundacional de la literatura occidental.
clasicos|El retrato de Dorian Gray|Oscar Wilde|The Picture of Dorian Gray|Un joven conserva su belleza mientras su retrato envejece y carga con las huellas de una vida disoluta.
clasicos|Hamlet|William Shakespeare||El príncipe de Dinamarca duda entre la venganza y la conciencia tras conocer que su tío asesinó a su padre.
fantasia|El Hobbit|J. R. R. Tolkien|The Hobbit|Bilbo Bolsón deja la comodidad de su hogar para acompañar a un grupo de enanos a recuperar un tesoro custodiado por un dragón.
fantasia|La Comunidad del Anillo|J. R. R. Tolkien|The Fellowship of the Ring|Frodo hereda el Anillo Único y parte con ocho compañeros para destruirlo antes de que caiga en manos del Señor Oscuro.
fantasia|El nombre del viento|Patrick Rothfuss|The Name of the Wind|Kvothe, músico, mago y leyenda, cuenta su propia historia: de huérfano en una troupe de actores a estudiante en la Universidad.
fantasia|Harry Potter y la piedra filosofal|J. K. Rowling|Harry Potter and the Philosopher's Stone|Un niño huérfano descubre en su cumpleaños número once que es mago y entra al Colegio Hogwarts de Magia y Hechicería.
fantasia|El león, la bruja y el armario|C. S. Lewis|The Lion, the Witch and the Wardrobe|Cuatro hermanos atraviesan un armario y llegan a Narnia, un país encantado bajo el invierno eterno de la Bruja Blanca.
fantasia|Choque de reyes|George R. R. Martin|A Clash of Kings|Segunda entrega de Canción de hielo y fuego: los aspirantes al Trono de Hierro se disputan Poniente mientras crece la amenaza del norte.
fantasia|El camino de los reyes|Brandon Sanderson|The Way of Kings|En el mundo azotado por tormentas de Roshar, un esclavo, un caballero y una joven erudita se ven arrastrados a una guerra antigua.
fantasia|Eragon|Christopher Paolini||Un joven granjero encuentra un huevo de dragón y se convierte en Jinete, con la misión de enfrentarse al rey tirano.
fantasia|La historia interminable|Michael Ende|The Neverending Story|Bastian abre un libro misterioso y descubre que él mismo forma parte de la historia de Fantasía, un reino que se desvanece.
fantasia|Percy Jackson y el ladrón del rayo|Rick Riordan|The Lightning Thief|Percy descubre que es hijo de un dios griego y debe recuperar el rayo de Zeus para evitar una guerra entre los dioses del Olimpo.
fantasia|Un mago de Terramar|Ursula K. Le Guin|A Wizard of Earthsea|Ged, un joven aprendiz de mago, libera por soberbia una sombra y debe enfrentarla en un archipiélago de islas y dragones.
fantasia|Buenos presagios|Terry Pratchett y Neil Gaiman|Good Omens|Un ángel y un demonio, amigos de siglos, intentan evitar el Apocalipsis porque se han acostumbrado a la vida en la Tierra.
fantasia|Alicia en el país de las maravillas|Lewis Carroll|Alice's Adventures in Wonderland|Una niña sigue a un conejo blanco por una madriguera y llega a un mundo de personajes absurdos y reglas imposibles.
fantasia|Trono de cristal|Sarah J. Maas|Throne of Glass|Celaena Sardothien, asesina cautiva, puede ganar su libertad si vence a otros campeones en una competición del rey.
novela|La sombra del viento|Carlos Ruiz Zafón|The Shadow of the Wind|En la Barcelona de posguerra, un niño encuentra un libro maldito y se ve envuelto en el misterio de su autor desaparecido.
novela|El amor en los tiempos del cólera|Gabriel García Márquez|Love in the Time of Cholera|Florentino Ariza espera más de cincuenta años para volver a declarar su amor a Fermina Daza.
novela|Crónica de una muerte anunciada|Gabriel García Márquez|Chronicle of a Death Foretold|Todo el pueblo sabía que Santiago Nasar iba a morir, y nadie logró evitarlo: la reconstrucción de un crimen anunciado.
novela|La casa de los espíritus|Isabel Allende|The House of the Spirits|La saga de la familia Trueba a lo largo de cuatro generaciones, entre lo político, lo mágico y las pasiones familiares.
novela|Pedro Páramo|Juan Rulfo||Juan Preciado llega a Comala en busca de su padre y encuentra un pueblo poblado de voces y fantasmas.
novela|Rayuela|Julio Cortázar|Hopscotch|Una novela que puede leerse en varios órdenes, sobre Horacio Oliveira y su búsqueda entre París y Buenos Aires.
novela|La ciudad y los perros|Mario Vargas Llosa|The Time of the Hero|La vida cruel de los cadetes del colegio militar Leoncio Prado en Lima, y un crimen que nadie quiere esclarecer.
novela|La fiesta del chivo|Mario Vargas Llosa|The Feast of the Goat|Los últimos días de la dictadura de Trujillo en la República Dominicana, vistos desde el poder y desde sus víctimas.
novela|El extranjero|Albert Camus|The Stranger|Meursault, indiferente ante casi todo, mata a un hombre en una playa argelina y es juzgado más por su frialdad que por su crimen.
novela|Ensayo sobre la ceguera|José Saramago|Blindness|Una epidemia de ceguera blanca se extiende por una ciudad y muestra lo mejor y lo peor de las personas.
novela|La insoportable levedad del ser|Milan Kundera|The Unbearable Lightness of Being|Tomas, Tereza y Sabina se enredan en el amor y la libertad en la Praga de la invasión soviética.
novela|El guardián entre el centeno|J. D. Salinger|The Catcher in the Rye|Holden Caulfield, expulsado del colegio, vaga por Nueva York y cuenta con humor y rabia su desencanto ante el mundo adulto.
novela|Matar a un ruiseñor|Harper Lee|To Kill a Mockingbird|En el sur de Estados Unidos, una niña ve cómo su padre, abogado, defiende a un hombre negro acusado injustamente.
biografias|El diario de Ana Frank|Ana Frank|The Diary of a Young Girl|El diario de una adolescente judía escondida con su familia en Ámsterdam durante la ocupación nazi.
biografias|El largo camino hacia la libertad|Nelson Mandela|Long Walk to Freedom|La autobiografía del líder sudafricano: su infancia, veintisiete años de cárcel y la lucha contra el apartheid.
biografias|Yo soy Malala|Malala Yousafzai|I Am Malala|La historia de la joven paquistaní que defendió el derecho de las niñas a estudiar y sobrevivió a un atentado talibán.
biografias|Mi historia|Michelle Obama|Becoming|Las memorias de la ex primera dama de Estados Unidos: de su infancia en Chicago a la Casa Blanca.
biografias|Leonardo da Vinci|Walter Isaacson||La vida y la obra del genio renacentista, contada a partir de sus cuadernos y su curiosidad insaciable.
biografias|Una educación|Tara Westover|Educated|Una joven criada por una familia sin escuela en las montañas de Idaho logra llegar a la universidad y a un doctorado.
biografias|Shoe Dog: la historia de Nike|Phil Knight|Shoe Dog|El fundador de Nike cuenta cómo pasó de vender zapatillas desde el maletero de un coche a crear una marca global.
biografias|Vivir para contarla|Gabriel García Márquez|Living to Tell the Tale|Las memorias de García Márquez: su infancia en Aracataca, sus inicios como periodista y el camino hacia la literatura.
biografias|Confieso que he vivido|Pablo Neruda|Memoirs|Las memorias del poeta chileno: viajes, amores, política y poesía en el siglo XX.
biografias|Elon Musk|Walter Isaacson||Una biografía del empresario detrás de Tesla, SpaceX y X, basada en dos años de acceso a su entorno.
historia|Armas, gérmenes y acero|Jared Diamond|Guns, Germs, and Steel|Un ensayo sobre las razones geográficas y ambientales por las que unas sociedades dominaron a otras.
historia|Los cañones de agosto|Barbara W. Tuchman|The Guns of August|El relato de las primeras semanas de la Primera Guerra Mundial y de las decisiones que la hicieron inevitable.
historia|Breve historia del mundo|Ernst H. Gombrich|A Little History of the World|Una historia universal para todos los públicos, contada con sencillez desde la prehistoria hasta el siglo XX.
historia|La Segunda Guerra Mundial|Antony Beevor|The Second World War|Un relato completo del mayor conflicto del siglo XX, en todos sus frentes.
historia|Colapso|Jared Diamond|Collapse|Por qué algunas sociedades desaparecen y otras sobreviven ante los cambios del entorno y sus propias decisiones.
historia|Historia del siglo XX|Eric Hobsbawm|The Age of Extremes|Un recorrido por el «siglo corto», desde 1914 hasta la caída de la Unión Soviética.
historia|1491|Charles C. Mann||Cómo eran realmente las Américas antes de la llegada de Colón, según la arqueología y la antropología recientes.
historia|Colombia: una nación a pesar de sí misma|David Bushnell|The Making of Modern Colombia|Una historia de Colombia desde los tiempos precolombinos hasta la actualidad.
historia|Calibán y la bruja|Silvia Federici|Caliban and the Witch|Un análisis del papel de las mujeres, el cuerpo y la caza de brujas en la transición al capitalismo.
historia|Historia de la guerra del Peloponeso|Tucídides|History of the Peloponnesian War|El relato clásico del enfrentamiento entre Atenas y Esparta, escrito por un testigo de la guerra.
